index,index_city,Population
1,New York City,8175133
2,Los Angeles,3971883
3,Chicago,2720546
4,Brooklyn,2300664
5,Houston,2296224
6,Queens,2272771
7,Philadelphia,1567442
8,Phoenix,1563025
9,Manhattan,1487536
10,San Antonio,1469845
11,San Diego,1394928
12,The Bronx,1385108
13,Dallas,1300092
14,San Jose,1026908
15,Austin,931830
16,Jacksonville,868031
17,San Francisco,864816
18,Columbus,850106
19,Fort Worth,833319
20,Indianapolis,829718
21,Charlotte,827097
22,Seattle,684451
23,Denver,682545
24,El Paso,681124
25,Detroit,677116
26,Boston,675647
27,Memphis,655770
28,New South Memphis,641608
29,Portland,632309
30,Oklahoma City,631346
31,Las Vegas,623747
32,Baltimore,621849
33,Washington,601723
34,Milwaukee,600155
35,South Boston,571281
36,Albuquerque,559121
37,Tucson,531641
38,Nashville,530852
39,Fresno,520052
40,Sacramento,490712
41,Kansas City,475378
42,Long Beach,474140
43,Mesa,471825
44,Staten Island,468730
45,Atlanta,463878
46,Colorado Springs,456568
47,Virginia Beach,452745
48,Raleigh,451066
49,Omaha,443885
50,Miami,441003
51,Oakland,419267
52,Minneapolis,410939
53,Tulsa,403505
54,Wichita,389965
55,New Orleans,389617
56,Arlington,388125
57,Cleveland,388072
58,Bakersfield,373640
59,Tampa,369075
60,Aurora,359407
61,Anaheim,350742
62,Honolulu,349597
63,West Raleigh,338759
64,Santa Ana,335400
65,Corpus Christi,324074
66,Riverside,322424
67,St Louis,316030
68,St. Louis,315685
69,Lexington-Fayette,314488
70,Stockton,305658
71,Pittsburgh,304391
72,Anchorage,298695
73,St Paul,297160
74,Cincinnati,296943
75,Meads,288649
76,Ironville,288649
77,Henderson,285667
78,Greensboro,285342
79,Saint Paul,285068
80,Plano,283558
81,Newark,281944
82,Toledo,279789
83,Lincoln,277348
84,Orlando,270934
85,Chula Vista,265757
86,Jersey City,264290
87,Chandler,260828
88,Fort Wayne,260326
89,Buffalo,258071
90,Durham,257636
91,St. Petersburg,257083
92,Irvine,256927
93,Laredo,255473
94,Lubbock,249042
95,Madison,248951
96,Gilbert,247542
97,Norfolk,246393
98,Louisville,243639
99,Reno,241445
100,Winston-Salem,241218
101,Glendale,240126
102,Hialeah,237069
103,Garland,236897
104,Scottsdale,236839
105,Irving,236607
106,Chesapeake,235429
107,North Las Vegas,234807
108,Fremont,232206
109,Baton Rouge,228590
110,Lexington,225366
111,Paradise,223167
112,Richmond,220289
113,Jamaica,216866
114,San Bernardino,216108
115,Spokane,213272
116,Birmingham,212461
117,Modesto,211266
118,Des Moines,210330
119,Rochester,209802
120,Maryvale,208189
121,Tacoma,207948
123,Fontana,207460
124,Oxnard,207254
125,Worcester,206518
126,Moreno Valley,204198
127,Fayetteville,201963
128,Huntington Beach,201899
129,Yonkers,201116
132,Montgomery,200602
134,Amarillo,198645
135,Little Rock,197992
136,Akron,197542
137,Shreveport,197204
138,Grand Rapids,195097
139,Mobile,194288
140,Salt Lake City,192672
141,Providence,190934
142,Huntsville,190582
143,Tallahassee,189907
144,Sunrise Manor,189372
145,Grand Prairie,187809
146,Overland Park,186515
147,Knoxville,185291
148,Brownsville,183887
149,Newport News,182385
150,Santa Clarita,182371
151,Fort Lauderdale,178590
152,East Flatbush,178464
153,Spring Valley,178395
154,Chattanooga,176588
155,Tempe,175826
156,Oceanside,175691
157,Garden Grove,175393
158,Rancho Cucamonga,175236
159,Cape Coral,175229
160,Santa Rosa,174972
161,East New York,173198
162,Vancouver,172860
163,Sioux Falls,171544
164,Peoria,171237
165,Ontario,171214
166,Jackson,170674
167,Hollywood,167664
168,Elk Grove,166913
169,Springfield,166810
170,Pembroke Pines,166611
171,Deer Valley,165656
172,Port Saint Lucie,164603
173,Salem,164549
174,Corona,164226
175,Eugene,163460
176,McKinney,162898
177,Fort Collins,161175
178,Lancaster,161103
179,Cary,159769
180,Tempe Junction,158368
181,Palmdale,158351
182,Hayward,158289
183,Salinas,157380
184,Frisco,154407
186,East Chattanooga,154024
187,Pasadena,153784
188,Alexandria,153511
189,Pomona,153266
190,Washington Heights,152613
191,Lakewood,152597
192,Sunnyvale,151754
193,Escondido,151451
195,Astoria,150165
197,Borough Park,149248
198,Clarksville,149176
199,Torrance,148475
200,Valencia,148456
201,Rockford,148278
202,East Hampton,147993
203,Joliet,147861
204,Paterson,147754
205,Bridgeport,147629
206,Naperville,147100
207,Boise,145987
208,Savannah,145674
209,Mesquite,144788
210,Syracuse,144142
211,Metairie Terrace,142489
213,Orange,140992
214,Fullerton,140847
215,Killeen,140806
216,Dayton,140599
217,McAllen,140269
218,Bellevue,139820
219,Metairie,138481
220,Miramar,137132
221,Hampton,136454
222,Van Nuys,136443
223,West Valley City,136208
224,Olathe,134305
225,Warren,134056
226,Columbia,133803
227,Thornton,133451
228,Carrollton,133168
229,Midland,132950
230,Charleston,132609
231,Waco,132356
232,Sterling Heights,132052
233,Denton,131044
234,Cedar Rapids,130405
235,New Haven,130322
236,Roseville,130269
237,Gainesville,130128
238,Visalia,130104
239,Coral Springs,129485
240,Thousand Oaks,129339
241,Elizabeth,129007
242,Stamford,128874
243,Concord,128667
244,Surprise,128422
245,Alhambra,127764
246,Lafayette,127657
247,Topeka,127265
248,Kent,126952
249,Simi Valley,126788
250,East Los Angeles,126496
251,Santa Clara,126215
252,Murfreesboro,126118
253,Sunset Park,126000
254,Koreatown,124281
255,Hartford,124006
256,Sheepshead Bay,122534
257,Amherst,122366
258,Victorville,122225
259,Abilene,121721
260,Vallejo,121253
261,North Stamford,121230
262,Berkeley,120972
263,Norman,120284
264,Allentown,120207
265,Evansville,119943
267,Odessa,118968
268,Fargo,118523
269,Beaumont,118129
270,Independence,117255
271,Ann Arbor,117070
272,El Monte,116732
273,Athens,116714
275,Harlem,116345
276,Round Rock,115997
277,Wilmington,115933
278,East Harlem,115921
279,Arvada,115368
280,Provo,115264
282,Lansing,115056
283,Downey,114219
284,Carlsbad,113453
285,Elmhurst,113364
286,Costa Mesa,113204
287,Miami Gardens,113187
288,Westminster,113130
289,North Peoria,113004
290,Clearwater,113003
291,Fairfield,112970
292,Bushwick,112620
293,Gravesend,112229
295,Elgin,112111
296,Temecula,112011
297,West Jordan,111946
298,Inglewood,111666
299,Richardson,110815
300,Lowell,110699
301,East Independence,110675
302,Gresham,110553
303,Antioch,110542
304,Cambridge,110402
305,High Point,110268
306,Billings,110263
307,Manchester,110229
308,Murrieta,109830
309,Centennial,109741
312,Pueblo,109412
313,Pearland,108821
314,Waterbury,108802
315,West Covina,108484
316,Enterprise,108481
317,North Charleston,108304
318,Everett,108010
319,College Station,107889
320,Palm Bay,107888
321,Pompano Beach,107762
322,Boulder,107349
323,Norwalk,107140
324,West Palm Beach,106779
325,Broken Arrow,106563
326,Daly City,106562
327,Sandy Springs,105330
328,Burbank,105319
329,Green Bay,105207
330,Santa Maria,105093
331,Universal City,105000
332,Wichita Falls,104710
333,Lakeland,104401
334,Clovis,104180
335,Lewisville,104039
336,Tyler,103700
337,El Cajon,103679
338,San Mateo,103536
339,Brandon,103483
340,Rialto,103132
341,Davenport,102582
342,Edison,102548
343,Hillsboro,102347
344,Las Cruces,101643
345,South Bend,101516
346,New Bedford,101079
347,Vista,100890
348,Greeley,100883
349,Davie,100882
350,Chinatown,100574
351,San Angelo,100450
352,Renton,100242
353,Roanoke,99897
354,Kenosha,99858
355,Clinton Township,99753
357,Erie,99475
358,Portsmouth Heights,99049
359,Richmond Hill,98984
360,Alief,98725
361,Spring Hill,98621
362,Albany,98469
363,Compton,98462
364,Tuscaloosa,98332
365,League City,98312
366,Flint,98310
367,Allen,98143
368,Mission Viejo,97156
369,Vacaville,96803
370,Ventura,96769
371,Highlands Ranch,96713
372,Lawton,96655
373,Beaverton,96577
374,South Gate,96401
375,Portsmouth,96201
376,Sparks,96094
377,Brockton,95314
378,Dearborn,95171
379,Federal Way,95171
380,Lee's Summit,95094
381,Spokane Valley,94919
382,Fordham,94678
383,Livonia,94635
384,Roswell,94501
385,Orem,94457
386,Yuma,94139
387,Fall River,94000
388,Lawrence,93917
389,The Woodlands,93847
390,West Albany,93794
391,Yakima,93701
392,Quincy,93618
393,Flatbush,93361
394,Hesperia,93295
395,Carson,93281
396,Boca Raton,93235
397,Santa Monica,93220
398,San Marcos,92931
399,Boyle Heights,92785
400,Plantation,92560
